dashboard,name,description,data,data_link,tags,git_repo
us-baby-names,US Baby Names,Annual births by name in the US 1910 - 2016,Social Security Agency,https://www.ssa.gov/oact/babynames/,"population, statistics, data-viz, names",https://github.com/eliasdabbas/baby_names
advertools,advertools,Productivity and analysis tools for online marketing,NA,NA,"advertising, tools, marketing, adwords, bingads",https://github.com/eliasdabbas/advertools_app
boxofficemojo,BoxofficeMojo,BoxofficeMojo domestic dox-office data all-time,BoxofficeMojo,http://www.boxofficemojo.com/alltime/domestic.htm,"movies, hollywood, data-viz",https://github.com/eliasdabbas/boxofficemojo
health-spending,Healthcare Spending 2014,Healthcare spending by country in 2014,CIA World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2225.html,"healthcare, world, cia-factbook",https://github.com/eliasdabbas/health_spending
life-exp,Life Expectancy 2017,Life expectancy per country in 2017,CIA World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2102.html,"population, age, world, cia-factbook",https://github.com/eliasdabbas/life_expectancy
massacres,World Massacres,Wikipedia's list of events named massacres,Wikipedia,https://en.wikipedia.org/wiki/List_of_events_named_massacres,"terrorism, massacres, wikipedia, world",https://github.com/eliasdabbas/wikipedia_list_of_massacres
median-age-world,Median Age 2017,Median age and age distribution by country in 2017,CIA World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2010.html,"population, age, world, cia-factbook",https://github.com/eliasdabbas/median_age_dashboard
migration-by-country,Migration Stats 2017,Net migration by country in 2017,CIA World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2112.html,"migration, world, cia-factbook",https://github.com/eliasdabbas/migration_dashboard
mothersday-map,Mothers Day Celebrations,Mothers day celebrations in the world,Wikipedia,https://en.wikipedia.org/wiki/Mother%27s_Day,"world, mothers, wikipedia",https://github.com/eliasdabbas/mothers_day
pop-growth,Population Growth 2017,Population growth per country in 2017,CIA World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2002.html,"population, world, cia-factbook",https://github.com/eliasdabbas/population_growth
terrorism,Global Terrorism Database,World terrorist attacks during 1970 - 2016,START Consortium,https://www.kaggle.com/START-UMD/gtd,"terrorism, world",https://github.com/eliasdabbas/terrorism
,Dashboardom,This website!,NA,NA,"tools, website",https://github.com/eliasdabbas/dashboardom
